Feature ordinal,Feature,Bio MAF v4 block,Recommended status,Feature count origin,What this feature measures,Why this feature is in v4,Plain-English interpretation,Source / grounding,Downloaded/local provenance,Likely reviewer criticism,Response / rationale,Signature separation note
183,driver_gene_role_matched_event_log_count__ASXL1,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. ASXL1 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013.,"log1p count of role-consistent likely driver events in ASXL1; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in ASXL1 that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
184,driver_gene_functional_event_log_count__ASXL2,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. ASXL2 is included because: OncoKB annotated; IntOGen 2024; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in ASXL2,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene ASXL2.,OncoKB annotated; IntOGen 2024; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
185,driver_gene_role_matched_event_log_count__ASXL2,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. ASXL2 is included because: OncoKB annotated; IntOGen 2024; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in ASXL2; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in ASXL2 that better matches how that gene is known to drive cancer.,OncoKB annotated; IntOGen 2024; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
186,driver_gene_functional_event_log_count__ATM,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. ATM is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in ATM,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene ATM.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
187,driver_gene_role_matched_event_log_count__ATM,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. ATM is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in ATM; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in ATM that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
188,driver_gene_functional_event_log_count__ATP1A1,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. ATP1A1 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in ATP1A1,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene ATP1A1.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
189,driver_gene_role_matched_event_log_count__ATP1A1,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. ATP1A1 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024.,"log1p count of role-consistent likely driver events in ATP1A1; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in ATP1A1 that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
190,driver_gene_functional_event_log_count__ATR,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. ATR is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in ATR,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene ATR.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
191,driver_gene_role_matched_event_log_count__ATR,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. ATR is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024.,"log1p count of role-consistent likely driver events in ATR; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in ATR that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
192,driver_gene_functional_event_log_count__ATRX,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. ATRX is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in ATRX,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene ATRX.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
193,driver_gene_role_matched_event_log_count__ATRX,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. ATRX is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in ATRX; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in ATRX that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
194,driver_gene_functional_event_log_count__AXIN1,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. AXIN1 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in AXIN1,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene AXIN1.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
195,driver_gene_role_matched_event_log_count__AXIN1,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. AXIN1 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in AXIN1; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in AXIN1 that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
196,driver_gene_functional_event_log_count__AXL,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. AXL is included because: OncoKB annotated; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in AXL,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene AXL.,OncoKB annotated; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
197,driver_gene_role_matched_event_log_count__AXL,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. AXL is included because: OncoKB annotated; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in AXL; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in AXL that better matches how that gene is known to drive cancer.,OncoKB annotated; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
198,driver_gene_functional_event_log_count__B2M,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. B2M is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in B2M,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene B2M.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
199,driver_gene_role_matched_event_log_count__B2M,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. B2M is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in B2M; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in B2M that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
200,driver_gene_functional_event_log_count__BAP1,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. BAP1 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in BAP1,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene BAP1.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
201,driver_gene_role_matched_event_log_count__BAP1,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. BAP1 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in BAP1; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in BAP1 that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
202,driver_gene_functional_event_log_count__BARD1,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. BARD1 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in BARD1,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene BARD1.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
203,driver_gene_role_matched_event_log_count__BARD1,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. BARD1 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024.,"log1p count of role-consistent likely driver events in BARD1; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in BARD1 that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
204,driver_gene_functional_event_log_count__BCL10,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. BCL10 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in BCL10,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene BCL10.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
205,driver_gene_role_matched_event_log_count__BCL10,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. BCL10 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in BCL10; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in BCL10 that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
206,driver_gene_functional_event_log_count__BCL11B,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. BCL11B is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in BCL11B,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene BCL11B.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
207,driver_gene_role_matched_event_log_count__BCL11B,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. BCL11B is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024.,"log1p count of role-consistent likely driver events in BCL11B; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in BCL11B that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
208,driver_gene_functional_event_log_count__BCL2,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. BCL2 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in BCL2,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene BCL2.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
209,driver_gene_role_matched_event_log_count__BCL2,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. BCL2 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in BCL2; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in BCL2 that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
