gene,oncokb_gene_type,oncokb_source_count,oncokb_annotated,cosmic_cgc_v99_flag_in_oncokb,intogen_2024_driver,vogelstein_2013,cancer_hotspots_v3_gene,primary_driver_evidence_count,selected_for_v4_exact_gene_block,selection_rule,role_interpretation
FGFR3,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
FGFR4,ONCOGENE,6,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
FH,TSG,5,True,True,False,False,True,2,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
FHIT,TSG,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
FLCN,TSG,6,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
FLT3,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
FLT4,ONCOGENE,5,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
FOXA1,ONCOGENE_AND_TSG,4,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
FOXL2,ONCOGENE_AND_TSG,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
FOXO1,TSG,5,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
FOXO3,INSUFFICIENT_EVIDENCE,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
FOXP1,ONCOGENE_AND_TSG,5,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
FUBP1,TSG,6,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
FUS,ONCOGENE,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
GATA1,INSUFFICIENT_EVIDENCE,6,True,True,False,True,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,driver evidence without a clean role label
GATA2,ONCOGENE_AND_TSG,6,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
GATA3,ONCOGENE_AND_TSG,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
GLI1,ONCOGENE,4,True,False,True,False,True,2,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
GNA11,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
GNAQ,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
GNAS,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
GPS2,TSG,3,True,False,False,False,True,1,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
GRIN2A,TSG,5,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
GSK3B,ONCOGENE,5,True,False,True,False,True,2,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
GTF2I,ONCOGENE,2,True,False,True,False,True,2,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
H3C2,ONCOGENE,6,True,True,True,True,False,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
H3_3A,ONCOGENE,6,True,True,True,True,False,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
H4C9,INSUFFICIENT_EVIDENCE,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
HGF,ONCOGENE,6,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
HIF1A,ONCOGENE,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
HIP1,ONCOGENE,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
HLA_A,TSG,4,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
HLA_B,TSG,3,True,False,True,False,True,2,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
HNF1A,TSG,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
HRAS,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
HSP90AA1,ONCOGENE,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
IDH1,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
IDH2,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
IGF1R,ONCOGENE,5,True,False,False,False,True,1,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
IKZF1,INSUFFICIENT_EVIDENCE,6,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
IKZF3,ONCOGENE_AND_TSG,4,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
IL6ST,ONCOGENE,2,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
IL7R,ONCOGENE,5,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
INPPL1,TSG,3,True,False,True,False,True,2,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
IRF4,ONCOGENE,6,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
IRS2,ONCOGENE,5,True,False,False,False,True,1,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
JAK1,ONCOGENE_AND_TSG,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
JAK2,ONCOGENE,7,True,True,True,True,False,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
JAK3,ONCOGENE,7,True,True,True,True,False,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
JUN,ONCOGENE,6,True,True,False,False,True,2,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
KAT6A,INSUFFICIENT_EVIDENCE,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
KDM5A,ONCOGENE,6,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
KDM5C,TSG,7,True,True,True,True,False,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
KDM6A,TSG,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
KDR,ONCOGENE,6,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
KEAP1,TSG,6,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
KIT,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
KLF4,ONCOGENE_AND_TSG,5,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
KMT2A,TSG,6,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
KMT2C,TSG,6,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
KMT2D,TSG,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
KNSTRN,INSUFFICIENT_EVIDENCE,3,True,False,True,False,True,2,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
KRAS,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
LATS1,TSG,4,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
LATS2,TSG,4,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
LEF1,ONCOGENE,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
LRP1B,TSG,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
LYN,ONCOGENE,4,True,False,True,False,True,2,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
LZTR1,TSG,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MAF,INSUFFICIENT_EVIDENCE,4,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
MALT1,INSUFFICIENT_EVIDENCE,5,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
MAML2,INSUFFICIENT_EVIDENCE,2,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MAP2K1,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
MAP2K2,ONCOGENE,6,True,True,False,False,True,2,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
MAP2K4,TSG,6,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MAP3K1,TSG,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MAP3K13,ONCOGENE,5,True,True,False,False,True,2,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
MAPK1,ONCOGENE,6,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MAX,TSG,4,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MDC1,INSUFFICIENT_EVIDENCE,3,True,False,False,False,True,1,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,driver evidence without a clean role label
MDM2,ONCOGENE,6,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
MECOM,ONCOGENE,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MED12,TSG,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MEF2B,ONCOGENE,5,True,False,True,False,True,2,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MEN1,TSG,7,True,True,True,True,False,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MET,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MGA,TSG,3,True,False,True,False,True,2,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MLH1,TSG,7,True,True,False,True,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MLLT1,INSUFFICIENT_EVIDENCE,4,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
MLLT3,ONCOGENE,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
MPL,ONCOGENE,7,True,True,True,True,False,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
MSH2,TSG,7,True,True,False,True,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MSH6,TSG,7,True,True,False,True,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MSI2,ONCOGENE,5,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MST1,TSG,3,True,False,False,False,True,1,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MTOR,ONCOGENE,6,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MYC,ONCOGENE,6,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MYCN,ONCOGENE,6,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
MYD88,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
MYH11,TSG,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MYO5A,ONCOGENE,2,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
MYOD1,TSG,4,True,True,False,False,True,2,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
NCOA3,ONCOGENE,3,True,False,False,False,True,1,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
NCOR1,TSG,5,True,True,True,True,False,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
NCOR2,INSUFFICIENT_EVIDENCE,4,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
NF1,TSG,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
NF2,TSG,7,True,True,True,True,False,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
NFATC2,ONCOGENE_AND_TSG,2,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
NFE2L2,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
NFKBIE,TSG,2,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
NKX2_1,ONCOGENE,6,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
NOTCH1,ONCOGENE_AND_TSG,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
NOTCH2,ONCOGENE_AND_TSG,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
NPM1,ONCOGENE_AND_TSG,7,True,True,True,True,False,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
NRAS,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
NRG1,ONCOGENE,2,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
NSD1,TSG,5,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
NSD2,ONCOGENE,6,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
NSD3,INSUFFICIENT_EVIDENCE,6,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
NTRK1,ONCOGENE,6,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
NTRK2,ONCOGENE,6,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
NTRK3,ONCOGENE,6,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
NUP214,ONCOGENE,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
NUP93,INSUFFICIENT_EVIDENCE,4,True,False,False,False,True,1,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,driver evidence without a clean role label
NUP98,ONCOGENE,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
NUTM1,INSUFFICIENT_EVIDENCE,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
P2RY8,TSG,5,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
PALB2,TSG,6,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
PARP1,TSG,4,True,False,False,False,True,1,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
PAX5,ONCOGENE_AND_TSG,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
PBRM1,TSG,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
PDCD1LG2,ONCOGENE,6,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
PDGFRA,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
PDGFRB,ONCOGENE,6,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
PDPK1,INSUFFICIENT_EVIDENCE,3,True,False,False,False,True,1,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,driver evidence without a clean role label
PGR,ONCOGENE,3,True,False,False,False,True,1,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
PHF6,TSG,6,True,True,True,True,False,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
PICALM,ONCOGENE,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
PIK3CA,ONCOGENE,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
PIK3CB,ONCOGENE,5,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
PIK3CD,ONCOGENE,3,True,False,False,False,True,1,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
PIK3R1,TSG,7,True,True,True,True,True,4,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
PIK3R2,TSG,4,True,False,False,False,True,1,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
PIM1,INSUFFICIENT_EVIDENCE,6,True,True,True,False,True,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,loss-of-function/tumor-suppressor evidence
PLCG1,ONCOGENE,3,True,True,True,False,False,3,True,>=3 of OncoKB annotated / CGC flag / IntOGen / Vogelstein OR Cancer Hotspots v3 gene,activating/oncogene evidence
